timestamp,chunking_strategy,embedding_model,k_retrieve,total_chunks,avg_precision@k,avg_recall@k,error
2026-03-15T09:41:16.599903,A,sentence-transformers,5,1183,0.55,0.4666666666666666,
2026-03-15T09:42:37.738035,B,sentence-transformers,5,679,0.4833333333333333,0.35,
